College Code,College Name,Branch Code,Branch Name,Year_2017,OC_2017,BC_2017,BCM_2017,MBC_2017,SC_2017,SCA_2017,ST_2017,OCRank_2017,BCRank_2017,BCMRank_2017,MBCRank_2017,SCRank_2017,SCARank_2017,STRank_2017,Year_2018,OC_2018,BC_2018,BCM_2018,MBC_2018,SC_2018,SCA_2018,ST_2018,OCRank_2018,BCRank_2018,BCMRank_2018,MBCRank_2018,SCRank_2018,SCARank_2018,STRank_2018,Year_2019,OC_2019,BC_2019,BCM_2019,MBC_2019,SC_2019,SCA_2019,ST_2019,OCRank_2019,BCRank_2019,BCMRank_2019,MBCRank_2019,SCRank_2019,SCARank_2019,STRank_2019
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,2,2017,198.25,197.5,197.25,196.5,193,191.75,188,1509,2804,3241,4467,10650,13387,20615,2018,196.75,195.25,195,194,190.5,186.75,181.25,1886,3340,3663,4983,9306,14794,21403,2019,192,188,188,187.5,178.5,152,144.5,1273,3449,3493,3867,9422,29257,35187
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,3,2017,198.5,198,197.5,197.5,196,193.5,196,1360,2036,2661,2589,5482,10152,5468,2018,196.75,196,196.25,195.25,191.5,189.5,176,1781,2593,2271,3405,7952,10906,27452,2019,189.75,188.5,186,186,183,152.5,171.5,2668,3256,4625,4633,6356,28880,14076
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,4,2017,192.25,190.5,190.5,188.75,179.5,173,161,12198,15799,15753,19281,34682,45308,63309,2018,185.5,175.75,173,173,157.5,164.25,158.5,16349,27920,30746,30655,46599,39789,45554,2019,175.75,169,172.5,162,148,160.67,134905,11206,16187,13413,21314,32376,22280,134905
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,5,2017,199.75,199.5,199.5,199,197.5,196.25,193.75,73,174,187,645,2528,4898,9550,2018,199.5,199.25,198.75,198.25,195.5,195.25,190.75,92,166,294,632,3100,3356,9271,2019,198,196.5,197.5,194.75,190.25,134905,171,87,206,126,499,1934,134905,14448
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,6,2017,199,198.75,199,197.75,193.5,190.5,193.33,603,949,806,2341,10132,15465,10186,2018,198.5,198,197.5,196.75,188.25,183.5,182.25,409,754,1151,1883,12899,18914,20191,2019,195,194,192.5,191.5,183,182,176.5,411,642,1078,1415,6568,6946,10568
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,7,2017,199.25,199,198.5,198.75,196.5,197,193.25,328,663,1374,961,4297,3510,10508,2018,198.25,197.5,196.75,197.25,194.75,191.25,173.75,587,1110.5,1861,1319,4082,8315,30111,2019,195,192,190,191.5,184.5,176.5,182.75,476,1146,2018,1443,5405,10801,6607
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,8,2017,199.25,199,198,198.5,195.5,194.5,189,458,677,1904,1342,6436,8060,18532,2018,198.25,197.75,195.25,196.5,190.5,180.25,172.75,636,996,3447,2161,9525,22675,31157,2019,193.33,191.75,191,189,179,154.5,170.75,846,1328,1615,3149,8967,27071,14797
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,9,2017,200,199.75,199.75,199.25,198.25,197,190.25,48,160,150,403,1600,3297,15907,2018,199.33,198.75,198.25,198.5,195.75,193.25,187.25,103,302.5,547,432,2892,5878,14073,2019,196.75,195.5,195,193,191,179.5,186,188,325,433,873,1614,8812,4568
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,10,2017,196.75,196,194,194.75,188.75,186.25,134905,3887,5279,9184,7438,19199,23332,100000,2018,194,192.75,191.75,190.25,180,141,134905,5051,6533,7703,9892,22914,62312,134905,2019,187.5,185.25,183,183.5,174,170.25,165,3817,5106,6326,6201,12551,15170,19106
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,11,2017,196.5,196,195.5,194.25,186.75,184,134905,4369,5311,6376,8390,22827,27247,100000,2018,195.25,192.5,188.75,190,179.5,153.25,134905,3545,6733,12073,10527,23526,50687,134905,2019,185,183,181.5,178,164.25,156.5,134905,5155,6408,7300,9683,19602,25540,134905
